timestamp,src_ip,dst_ip,dst_port,interval_ms,packet_size
1774005012,192.168.1.105,203.0.113.45,443,5012,216
1774010025,192.168.1.105,203.0.113.45,443,5013,216
1774015031,192.168.1.105,203.0.113.45,443,5006,216
1774020042,192.168.1.105,203.0.113.45,443,5011,216
1774025035,192.168.1.105,203.0.113.45,443,4993,216
1774030048,192.168.1.105,203.0.113.45,443,5013,216
1774035041,192.168.1.105,203.0.113.45,443,4993,216
1774040054,192.168.1.105,203.0.113.45,443,5013,216
1774045062,192.168.1.105,203.0.113.45,443,5008,216
1774050070,192.168.1.105,203.0.113.45,443,5008,216
1774055081,192.168.1.105,203.0.113.45,443,5011,216
1774060087,192.168.1.105,203.0.113.45,443,5006,216
1774065095,192.168.1.105,203.0.113.45,443,5008,216
1774070104,192.168.1.105,203.0.113.45,443,5009,216
1774075112,192.168.1.105,203.0.113.45,443,5008,216
1774080120,192.168.1.105,203.0.113.45,443,5008,216
1774085135,192.168.1.105,203.0.113.45,443,5015,216
1774090141,192.168.1.105,203.0.113.45,443,5006,216
1774095149,192.168.1.105,203.0.113.45,443,5008,216
1774100155,192.168.1.105,203.0.113.45,443,5006,216
1774105164,192.168.1.105,203.0.113.45,443,5009,216
1774110175,192.168.1.105,203.0.113.45,443,5011,216
1774115183,192.168.1.105,203.0.113.45,443,5008,216
1774120191,192.168.1.105,203.0.113.45,443,5008,216
1774125202,192.168.1.105,203.0.113.45,443,5011,216
1774130210,192.168.1.105,203.0.113.45,443,5008,216
1774135222,192.168.1.105,203.0.113.45,443,5012,216
1774140231,192.168.1.105,203.0.113.45,443,5009,216
1774145240,192.168.1.105,203.0.113.45,443,5009,216
1774150247,192.168.1.105,203.0.113.45,443,5007,216
1774155255,192.168.1.105,203.0.113.45,443,5008,216
1774160263,192.168.1.105,203.0.113.45,443,5008,216
1774165271,192.168.1.105,203.0.113.45,443,5008,216
1774170280,192.168.1.105,203.0.113.45,443,5009,216
1774175289,192.168.1.105,203.0.113.45,443,5009,216
1774180301,192.168.1.105,203.0.113.45,443,5012,216
1774185309,192.168.1.105,203.0.113.45,443,5008,216
1774190317,192.168.1.105,203.0.113.45,443,5008,216
1774195325,192.168.1.105,203.0.113.45,443,5008,216
1774200336,192.168.1.105,203.0.113.45,443,5011,216
1774205345,192.168.1.105,203.0.113.45,443,5009,216
1774210355,192.168.1.105,203.0.113.45,443,5010,216
1774215362,192.168.1.105,203.0.113.45,443,5007,216
1774220371,192.168.1.105,203.0.113.45,443,5009,216
1774225380,192.168.1.105,203.0.113.45,443,5009,216
1774229500,192.168.1.50,8.8.8.8,53,4120,68
1774245700,192.168.1.50,8.8.8.8,53,16200,124
1774248200,192.168.1.50,8.8.8.8,53,2500,92
1774283400,192.168.1.50,8.8.8.8,53,35200,512
1774291500,192.168.1.50,8.8.8.8,53,8100,74
